Sample,LFQ_Int_CP35491,LFQ_Int_CP10882,LFQ_Int_CN06567,LFQ_Int_CP16894,LFQ_Int_CP22324,LFQ_Int_CH10571,LFQ_Int_CN30310,LFQ_Int_CP19452,LFQ_Int_CM5736,LFQ_Int_CN14704,LFQ_Int_CN39836,LFQ_Int_CP28844,LFQ_Int_CP34310,LFQ_Int_CP34241,LFQ_Int_CP34736,LFQ_Int_CP21176,LFQ_Int_CP24232,LFQ_Int_CN29552,LFQ_Int_CN36290,LFQ_Int_CP23023,LFQ_Int_CN35769
Label,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade
Q9NP58,2850200,43300000,19228000,85690000,9781300,550020,121340,656440,91552000,8658900,13810000,539650,878300,10478000,1025665,84989000,22033100,2418600,2570400,4251900,6729200
Q9NQ48,15100225,46317000,36941000,14964000,14385000,18840000,42932000,15830000,13809000,16202000,28553000,18870000,2495800,43932000,12841575,38962100,13166000,39124000,22836000,15570000,18719000
Q9NRG7,7228400,12139000,28263000,7510800,14025000,8023500,4088800,1445500,6653900,8319900,22710000,3059950,5106600,6805450,3821400,19361000,6316400,22642000,5020500,8438100,12736000
Q9NTI5,12250086,126480000,38235000,29422000,16605000,7427900,15234000,15324000,39794233,35516000,47181000,2263150,31398838,29147500,14208000,114960000,39911000,51175000,36439000,46999000,31646000
Q9NV70,3402000,105760000,21499000,7083800,5898700,25878000,5324100,1377700,69903633,12263925,16042000,6061867,1755500,2653603,11164150,45242000,7916200,16199000,4140300,10280000,28027000
Q9NWV8,15178433,87473000,45743000,13015000,24631000,8431100,17456000,18912000,3207000,17297000,86007000,2778400,663230,39650000,9555567,41286000,12888775,10095000,51100000,9395600,11558000
Q9NX62,15824000,77536000,6587200,20071000,12855000,10195000,3385700,3030100,7018000,41206000,33188000,47957994,31398838,11451867,7312650,51289000,4588300,121480000,9175000,15657160,18727111
Q9NXG2,200094100,5446200000,1122500000,961900000,268560000,1272200000,714220000,544410000,269638400,528120000,294290000,97583000,6102871,217709700,186961300,8088800000,1103700000,1193900000,619370000,1778500000,1613300000
Q9NZR1,20926500,81686000,121950000,9903300,26167000,5769600,6927700,6066000,8582725,6231000,16124000,4536300,4506400,32585000,6152533,103140000,19837000,29499000,30899600,7766700,35795000
Q9P265,15079000,15744000,23736000,18109000,13543000,26730800,12956085,180850000,24525000,6174000,36112000,1725700,31398838,16996867,10387985,90801000,13346000,16575000,13846000,150290000,7569500
Q9P2B2,6255000,89573000,10509000,20518000,76364000,15069000,12741041,5734600,36832000,19780914,26903000,7655100,31398838,6697200,19421000,41779000,26664000,35523000,11385000,15201000,190060000
Q9UBF2,580397925,28225000,20917000,23674000,25500000,9353800,8503900,9809600,8093975,22042000,61282000,14180000,4779600,86198762,90064923,49574000,7266000,43454000,19834000,17181000,20760000
Q9UDR5,5338600,64820000,35647000,1726800,27485000,5051500,4135200,14639000,103340000,14918000,13096000,955500,1755500,1340900,90064923,43378000,8195100,20527767,5953900,10210000,31749000
Q9UI12,22991033,52259000,47946000,23404000,16995975,28615000,32064000,7017700,43418000,19576425,66094000,14828000,4484750,29496000,13483767,31125000,14213000,28563000,13984000,20170000,28921000
Q9ULE6,9102200,62847000,20659000,25402000,29411000,14074000,20932867,31753000,9480167,34257000,32580000,5936600,451850,12793000,9078500,31514000,28465000,28084000,43658000,57925000,14924000
